Name,Year,Club,Goals,Assists,Shots,Minutes Played,Country,Club Position
Juanfran,15/16,atletico-madrid,0,2.0,3.0,1140,Spain,RB
Jesús Navas,15/16,sevilla,0,1.0,11.0,736,Spain,Sub
Rafinha,15/16,olympiacos,0,0.0,2.0,225,Brazil,RM
Rafinha,15/16,olympiacos,0,0.0,2.0,225,Brazil,Sub
Rafinha,15/16,olympiacos,0,0.0,2.0,225,Brazil,RB
Lionel Messi,15/16,barcelona,6,1.0,28.0,630,Argentina,RW
Jesús Gámez,15/16,atletico-madrid,0,0.0,0.0,90,Spain,Sub
Igor Akinfeev,15/16,cska-moscow,0,0.0,0.0,540,Russia,GK
Sergey Ignashevich,15/16,cska-moscow,1,0.0,1.0,495,Russia,LCB
Fernandinho,15/16,manchester-city,2,3.0,18.0,1049,Brazil,Sub
Milan Biševac,15/16,olympique-lyonnais,0,0.0,0.0,180,Serbia,Sub
Asmir Begović,15/16,chelsea,0,0.0,0.0,450,Bosnia Herzegovina,Sub
Javi García,15/16,zenit-st-petersburg,0,0.0,0.0,520,Spain,CDM
Nicklas Bendtner,15/16,vfl-wolfsburg,0,0.0,4.0,90,Denmark,ST
Domenico Criscito,15/16,zenit-st-petersburg,0,0.0,2.0,522,Italy,LB
Yaya Touré,15/16,manchester-city,1,2.0,18.0,742,Ivory Coast,CDM
Ezequiel Garay,15/16,valencia,0,0.0,2.0,540,Argentina,RCB
Philipp Lahm,15/16,bayern-munchen,0,0.0,2.0,1110,Germany,RB
Diego Godín,15/16,inter,0,1.0,10.0,1109,Uruguay,LCB
Andrés Guardado,15/16,psv-eindhoven,0,1.0,3.0,627,Mexico,CDM
Mikhail Kerzhakov,15/16,zenit-st-petersburg,0,0.0,0.0,180,Russia,Sub
Edin Džeko,15/16,roma,2,1.0,13.0,481,Bosnia Herzegovina,ST
Christian Träsch,15/16,vfl-wolfsburg,0,1.0,3.0,627,Germany,Sub
Rasmus Bengtsson,15/16,malmo-ff,0,0.0,1.0,450,Sweden,RCB
Gareth Bale,15/16,real-madrid,0,2.0,21.0,643,Wales,RW
Leonardo Bonucci,15/16,juventus,0,0.0,5.0,750,Italy,RCB
Andriy Pyatov,15/16,shakhtar-donetsk,0,0.0,0.0,360,Ukraine,GK
Luka Modrić,15/16,real-madrid,1,1.0,7.0,902,Croatia,RCM
Lars Bender,15/16,bayer-04-leverkusen,0,0.0,0.0,134,Germany,RDM
Konstantinos Mitroglou,15/16,sl-benfica,2,1.0,7.0,361,Greece,RS
Mesut Özil,15/16,arsenal,2,0.0,10.0,720,Germany,CAM
Yann Sommer,15/16,borussia-mgladbach,0,0.0,0.0,540,Switzerland,GK
Jérémy Morel,15/16,olympique-lyonnais,0,0.0,3.0,348,France,LB
Benoît Trémoulinas,15/16,sevilla,1,0.0,1.0,540,France,Res
Mathieu Valbuena,15/16,olympiacos,0,1.0,8.0,450,France,Sub
Loïc Rémy,15/16,lille-osc,0,0.0,2.0,102,France,Sub
Christophe Jallet,15/16,olympique-lyonnais,1,1.0,4.0,286,France,RB
Joe Hart,15/16,manchester-city,0,0.0,0.0,1071,England,GK
Luis Suárez,15/16,atletico-madrid,8,3.0,25.0,810,Uruguay,ST
Nacho Monreal,15/16,arsenal,0,1.0,2.0,540,Spain,LB
Sergio Agüero,15/16,manchester-city,2,0.0,19.0,703,Argentina,ST
Santi Cazorla,15/16,arsenal,0,1.0,6.0,439,Spain,Sub
Oleksandr Kucher,15/16,shakhtar-donetsk,0,0.0,4.0,450,Ukraine,RCB
Maicon,15/16,roma,0,0.0,0.0,114,Brazil,Sub
Maxwell,15/16,paris-saint-germain,0,2.0,1.0,810,Brazil,Sub
Marcelo,15/16,real-madrid,0,1.0,11.0,910,Brazil,LB
Marcelo,15/16,real-madrid,0,1.0,11.0,910,Brazil,RCB
Marcelo,15/16,real-madrid,0,1.0,11.0,910,Brazil,RCB
Raffael,15/16,borussia-mgladbach,2,1.0,13.0,517,Brazil,LS
Oleksandr Rybka,15/16,dynamo-kyiv,0,0.0,0.0,90,Ukraine,Sub
Kiko Casilla,15/16,real-madrid,0,0.0,0.0,180,Spain,Sub
Arturo Vidal,15/16,inter,2,3.0,22.0,857,Chile,LDM
Olcan Adın,15/16,galatasaray,0,0.0,1.0,268,Turkey,RM
Burak Yılmaz,15/16,galatasaray,0,0.0,6.0,266,Turkey,Res
Eduardo,15/16,gnk-dinamo-zagreb,0,0.0,0.0,540,Portugal,Sub
Eduardo,15/16,gnk-dinamo-zagreb,0,0.0,0.0,540,Brazil,LCM
Eduardo,15/16,gnk-dinamo-zagreb,0,0.0,0.0,540,Brazil,Sub
Mario Mandžukić,15/16,juventus,2,1.0,7.0,341,Croatia,LM
Bibras Natcho,15/16,cska-moscow,0,0.0,1.0,292,Israel,Sub
